id,label,spy_win_density,spy_loss_density,adversary_win_density,adversary_loss_density,spy_total_transits_heatmap_win,adversary_total_transits_heatmap_win,spy_relative_visits_win,spy_total_transits_heatmap_lose,adversary_total_transits_heatmap_lose,spy_relative_visits_lose
1,1,0,1,49,13,0,993,0,1,172,0.03407811799
2,2,113,28,67,34,3212,270,56.36815883,405,66,35.96790454
3,3,2,1,120,44,330,1976,0.7913144143,56,381,0.8615234449
4,4,0,0,105,19,276,580,2.254774765,52,120,2.539955728
5,5,48,18,78,47,470,423,5.264771995,282,185,8.93472992
6,6,26,6,77,28,151,413,1.732403182,27,209,0.7572190429
7,7,14,8,69,30,234,563,1.969380075,54,253,1.251057549
8,8,12,1,51,5,332,194,8.108834393,16,38,2.467973177
9,9,72,4,73,13,1301,257,23.98646509,48,43,6.542998655
10,10,25,8,174,34,1028,1072,4.543812547,147,207,4.162469253
11,11,3,0,127,22,320,828,1.831225042,52,150,2.031964582
12,12,8,0,120,14,30,854,0.1664506369,3,150,0.1172287259
13,13,0,0,153,133,275,5639,0.2310748482,52,2011,0.1515637431
14,14,0,0,109,71,11,2492,0.02091542647,4,888,0.02640286619
15,15,5,22,172,168,67,3862,0.08220242137,46,1747,0.1543366168
16,16,55,82,148,125,483,1221,1.874362315,345,740,2.732696651
17,17,157,119,127,161,3188,465,32.48534153,1501,267,32.95137033
18,18,133,8,32,8,1259,83,71.87365239,44,20,12.89515985
19,19,84,11,44,14,1446,160,42.82233922,64,37,10.13870062
20,20,87,41,76,48,2660,309,40.78920439,327,80,23.95862085
21,21,0,0,67,9,8,341,0.1111623413,0,42,0
22,22,0,0,192,118,6,4891,0.00581266996,0,1473,0
23,23,0,0,154,117,3,5335,0.002664458179,0,1683,0
24,24,0,0,108,44,1,1791,0.002645614068,0,908,0
25,25,4,2,156,56,81,1639,0.2341683212,19,775,0.1436997285
26,26,73,79,110,128,1380,2113,3.094579658,766,1213,3.701451114
27,27,71,51,136,93,1489,1076,6.556989731,748,535,8.195054857
28,28,13,9,161,71,233,1406,0.785222395,152,745,1.195890358
29,29,0,4,206,129,209,4814,0.2057132556,150,2204,0.3989180781
30,30,183,118,59,130,3215,324,47.01733879,1500,214,41.08483384
31,31,26,2,17,6,207,99,9.907343664,7,25,1.641202163
32,32,4,0,70,5,226,295,3.630015674,22,75,1.719354646
33,33,0,0,154,20,4,676,0.02803724731,0,138,0
34,34,0,1,126,99,289,4780,0.2864784929,46,1618,0.1666415757
35,35,45,13,146,34,1142,1098,4.928171819,162,233,4.075333389
36,36,70,28,130,59,1569,1002,7.419545444,204,310,3.857203239
37,37,17,20,158,61,566,2206,1.215718429,177,925,1.121593756
38,38,10,4,156,72,209,2828,0.3501780807,61,1481,0.2414231019
39,39,2,5,195,92,56,2730,0.09719579068,12,1447,0.04860900866
40,40,2,11,186,69,130,3180,0.1937038753,63,1296,0.284930931
41,41,0,1,191,174,19,5517,0.01631821663,3,2144,0.008201636606
42,42,13,50,171,139,336,2774,0.5739246761,209,1342,0.9128466361
43,43,155,5,15,12,1159,60,91.52806114,34,26,7.664955155
44,44,0,0,27,5,0,238,0,0,67,0
45,45,0,1,50,8,176,312,2.672884244,14,47,1.745959747
46,46,0,0,136,67,0,3623,0,0,732,0
47,47,0,0,100,9,8,446,0.0849918349,0,72,0
48,48,7,2,201,46,143,2061,0.3287608713,24,577,0.2438032428
49,49,44,1,113,29,423,978,2.049385172,28,305,0.5380990697
50,50,27,8,82,36,698,2031,1.628424307,233,1086,1.257564141
51,51,0,0,265,140,4,4271,0.004437644389,1,1943,0.003016693924
52,52,0,0,169,279,4,8113,0.002336149289,1,3105,0.001887741158
53,53,31,13,104,53,1265,1857,3.227756013,571,907,3.690055264
54,54,31,41,185,117,1181,1603,3.490908393,520,715,4.26286276
55,55,0,0,94,49,7,1656,0.0200290239,4,505,0.04642721818
56,56,4,1,66,28,260,821,1.500556208,225,393,3.355784138
57,57,0,0,32,5,0,106,0,0,19,0
58,58,0,0,52,10,0,1335,0,0,351,0
59,59,5,4,65,9,188,433,2.057273491,26,75,2.031964582
60,60,2,0,68,3,31,382,0.3845213054,0,57,0
61,61,0,1,156,19,30,1055,0.1347382406,1,168,0.03488950175
62,62,2,0,156,36,39,1111,0.1663307804,1,256,0.02289623553
63,63,0,1,188,123,9,4943,0.008627281643,1,1175,0.004988456421
64,64,2,2,187,45,31,1455,0.1009533599,14,403,0.2036230971
65,65,0,0,205,188,4,4788,0.003958475184,0,1341,0
66,66,0,2,235,88,24,2838,0.04007014627,2,924,0.01268709155
67,67,0,4,238,273,14,8556,0.00775317054,5,2476,0.01183650302
68,68,3,1,198,81,100,2296,0.2063717246,37,1020,0.2126207283
69,69,0,1,178,115,14,2373,0.02795454157,2,1179,0.009943064113
70,70,6,3,153,55,136,1285,0.5014848967,43,506,0.4981062464
71,71,0,1,213,40,53,1207,0.2080609977,20,453,0.2587830594
72,72,1,2,181,127,43,2742,0.07430586295,16,1203,0.07795758996
73,73,0,0,21,3,0,95,0,0,12,0
74,74,0,0,47,5,0,841,0,0,180,0
75,75,4,0,53,9,171,466,1.738730494,26,119,1.280649947
76,76,1,0,84,14,3,680,0.02090424175,0,103,0
77,77,0,0,106,38,2,2603,0.003640641411,0,693,0
78,78,1,3,126,61,7,2821,0.01175755532,4,575,0.04077520901
79,79,0,0,142,78,0,3723,0,0,689,0
80,80,11,1,125,27,357,1356,1.247471417,121,335,2.117115796
81,81,2,3,170,37,35,1269,0.1306858297,17,379,0.2629140291
82,82,0,0,222,175,4,5624,0.003370053198,3,1669,0.01053583516
83,83,2,0,73,30,20,743,0.1275449474,10,224,0.2616712632
84,84,18,13,82,55,476,696,3.240557935,209,233,5.2576832
85,85,67,109,146,166,1408,1362,4.89832531,757,667,6.652334745
86,86,0,5,195,304,16,6321,0.01199378528,8,2616,0.01792488164
87,87,0,1,108,135,47,3497,0.06368311564,7,1200,0.03419171172
